aardvark,ˈɑɹdˌvɑɹk
damned,ˈdæmd
damp,ˈdæmp
damper,ˈdæmpɝ
damsel,ˈdæmzəɫ
damson,ˈdæmsən
dance,ˈdæns
dancer,ˈdænsɝ
dancing,ˈdænsɪŋ
dandruff,ˈdændɹəf
dandy,ˈdændi
danger,ˈdeɪndʒɝ
dangerousness,ˈdeɪndʒɝəsnəs
danish,ˈdeɪnɪʃ
daphne,ˈdæfni
dare,ˈdɛɹ
daredevil,ˈdɛɹˌdɛvəɫ
dark,ˈdɑɹk
darkness,ˈdɑɹknəs
darkroom,ˈdɑɹˌkɹum
darling,ˈdɑɹɫɪŋ
darner,ˈdɑɹnɝ
dart,ˈdɑɹt
dartboard,ˈdɑɹtˌbɔɹd
darter,ˈdɑɹtɝ
darts,ˈdɑɹts
dash,ˈdæʃ
dashboard,ˈdæʃˌbɔɹd
dashiki,dəˈʃiki
data,ˈdætə
database,ˈdætəˌbeɪs
date,ˈdeɪt
dateline,ˈdeɪtˌɫaɪn
dating,ˈdeɪtɪŋ
datum,ˈdætəm
daub,ˈdɔb
dauber,ˈdaʊbɝ
daughter,ˈdɔtɝ
dauphin,ˈdaʊfɪn
davenport,ˈdævənˌpɔɹt
dawn,ˈdɔn
day,ˈdeɪ
daycare,ˈdeɪˌkɛɹ
daylight,ˈdeɪˌɫaɪt
days,ˈdeɪz
daze,ˈdeɪz
dazzle,ˈdæzəɫ
deacon,ˈdikən
deaconess,ˈdikənəs
dead,ˈdɛd
deadhead,ˈdɛdˌhɛd
deadline,ˈdɛdˌɫaɪn
deadliness,ˈdɛdɫinəs
deadlock,ˈdɛdˌɫɑk
deadwood,ˈdɛdˌwʊd
deaf,ˈdɛf
deal,ˈdiɫ
dealer,ˈdiɫɝ
dealing,ˈdiɫɪŋ
dealings,ˈdiɫɪŋz
dean,ˈdin
dearth,ˈdɝθ
death,ˈdɛθ
deathbed,ˈdɛθˌbɛd
debacle,dəˈbɑkəɫ
debarment,dɪˈbɑɹmənt
debate,dəˈbeɪt
debater,dəˈbeɪtɝ
debenture,dəˈbɛntʃɝ
debit,ˈdɛbɪt
debriefing,dɪˈbɹifɪŋ
debris,dəˈbɹi
debt,ˈdɛt
debtor,ˈdɛtɝ
debut,ˈdeɪbju
debutante,ˈdɛbjəˈtɑnt
decade,ˈdɛkeɪd
decadent,ˈdɛkədənt
decapitation,dɪˌkæpɪˈteɪʃən
decathlon,diˈkæθɫɔn
decay,dɪˈkeɪ
deceleration,dɪˌsɛɫɝˈeɪʃən
decency,ˈdisənsi
decentralization,dɪˌsɛntɹəɫɪˈzeɪʃən
deception,dɪˈsɛpʃən
decibel,ˈdɛsəˌbɛɫ
deciliter,ˈdɛsəˌɫitɝ
decimal,ˈdɛsəməɫ
decimation,ˈdɛsəˌmeɪʃən
decision,dɪˈsɪʒən
decisiveness,dɪˈsaɪsɪvnəs
deck,ˈdɛk
decker,ˈdɛkɝ
declaration,ˌdɛkɫɝˈeɪʃən
declension,dəˈkɫɛnʃən
decline,dɪˈkɫaɪn
deco,ˈdɛkoʊ
decoder,dɪˈkoʊdɝ
decoding,dɪˈkoʊdɪŋ
decomposition,ˌdikəmpəˈzɪʃən
decompression,ˌdikəmˈpɹɛʃən
decongestant,dikənˈdʒɛstənt
deconstruction,dikənˈstɹəkʃən
decontamination,dikənˌtæməˈneɪʃən
decoration,ˌdɛkɝˈeɪʃən
decorator,ˈdɛkɝˌeɪtɝ
decorum,dɪˈkɔɹəm
decoy,dəˈkɔɪ
decrease,ˈdiˌkɹis
decree,dɪˈkɹi
decriminalization,diˌkɹɪmənəɫəˈzeɪʃən
dedication,ˌdɛdəˈkeɪʃən
deductible,dɪˈdəktəbəɫ
deduction,dɪˈdəkʃən
deed,ˈdid
deep,ˈdip
deepening,ˈdipənɪŋ
deer,ˈdɪɹ
defamation,ˌdɛfəˈmeɪʃən
default,dɪˈfɔɫt
defaulter,dɪˈfɔɫtɝ
defeat,dɪˈfit
defeated,dɪˈfitəd
defeatism,dɪˈfitɪzəm
defeatist,dɪˈfitɪst
defect,ˈdifɛkt
defendant,dɪˈfɛndənt
defender,dɪˈfɛndɝ
defenestration,diˌfɛnɛˈstɹeɪʃən
defense,dɪˈfɛns
defensive,dɪˈfɛnsɪv
defensiveness,dɪˈfɛnsɪvnəs
deference,ˈdɛfɝəns
deferral,dɪˈfɝəɫ
defiance,dɪˈfaɪəns
defibrillator,diˈfɪbɹɪˌɫeɪtɝ
deficit,ˈdɛfəsət
definition,ˌdɛfəˈnɪʃən
deflation,dɪˈfɫeɪʃən
deflator,dɪˈfɫeɪtɝ
deflection,dɪˈfɫɛkʃən
deflector,dɪˈfɫɛktɝ
defoliant,dɪˈfoʊɫiənt
deforestation,dɪˌfɔɹɪˈsteɪʃən
deformity,dɪˈfɔɹməti
degeneracy,dɪˈdʒɛnɝəsi
degeneration,dɪˌdʒɛnɝˈeɪʃən
degradation,ˌdɛɡɹəˈdeɪʃən
degree,dɪˈɡɹi
dehumanization,ˌdiˌhjumənəˈzeɪʃən
dehydration,ˌdihaɪˈdɹeɪʃən
deification,ˌdiəfəˈkeɪʃən
deism,ˈdiɪzəm
deist,ˈdiɪst
deity,ˈdiəti
delay,dɪˈɫeɪ
delegate,ˈdɛɫəˌɡeɪt
delegating,ˈdɛɫəˌɡeɪtɪŋ
deletion,dɪˈɫiʃən
delft,ˈdɛɫft
deliberation,dɪˌɫɪbɝˈeɪʃən
delicacy,ˈdɛɫəkəsi
delicatessen,ˌdɛɫɪkəˈtɛsən
delight,dɪˈɫaɪt
delineation,dɪˌɫɪniˈeɪʃən
delinquency,dɪˈɫɪŋkwənsi
delinquent,dɪˈɫɪŋkwənt
delirium,dɪˈɫɪɹiəm
deliverable,dɪˈɫɪvɝəbəɫ
deliverer,dɪˈɫɪvɝɝ
delivery,dɪˈɫɪvɝi
dell,ˈdɛɫ
delta,ˈdɛɫtə
delusion,dɪˈɫuʒən
demagogue,ˈdɛməˌɡɑɡ
demagoguery,ˈdɛməˌɡɑɡɝi
demand,dɪˈmænd
demarche,diˈmɑɹtʃ
demeanor,dɪˈminɝ
dementia,dɪˈmɛnʃiə
demerit,diˈmɛɹət
demobilization,diˌmoʊbəɫaɪˈzeɪʃən
democracy,dɪˈmɑkɹəsi
democrat,ˈdɛməˌkɹæt
democratization,dɪˌmɑkɹətəˈzeɪʃən
demodulation,ˌdiˌmɑdʒəˈɫeɪʃən
demographer,dɪˈmɑɡɹəfɝ
demographic,ˌdɛməˈɡɹæfɪk
demography,dɪˈmɑɡɹəfi
demolition,ˌdɛməˈɫɪʃən
demon,ˈdimən
demonization,ˌdimənəˈzeɪʃən
demonstration,ˌdɛmənˈstɹeɪʃən
demonstrator,ˈdɛmənˌstɹeɪtɝ
demoralization,dɪˌmɔɹəɫɪˈzeɪʃən
demotion,dɪˈmoʊʃən
demur,dɪˈmɝ
den,ˈdɛn
denationalization,ˌdiˌnæʃənəɫɪˈzeɪʃən
dengue,ˈdɛnɡ
denial,dɪˈnaɪəɫ
denim,ˈdɛnəm
denizen,ˈdɛnəzən
denomination,dɪˌnɔməˈneɪʃən
denominator,dɪˈnɑməˌneɪtɝ
denouement,ˌdeɪˌnuˈmɑn
density,ˈdɛnsəti
dent,ˈdɛnt
dentine,ˈdɛntin
dentist,ˈdɛnɪst
dentistry,ˈdɛnɪstɹi
dentition,dɛnˈtɪʃən
denture,ˈdɛntʃɝ
denunciation,dɪˌnənsiˈeɪʃən
deodorant,diˈoʊdɝənt
department,dɪˈpɑɹtmənt
departure,dɪˈpɑɹtʃɝ
dependability,dɪˌpɛndəˈbɪɫɪti
dependence,dɪˈpɛndəns
depicting,dɪˈpɪktɪŋ
depiction,dɪˈpɪkʃən
depilatory,dɪˈpɪɫəˌtɔɹi
depletion,dɪˈpɫiʃən
deployment,dɪˈpɫɔɪmənt
depopulation,ˌdipɑpjəˈɫeɪʃən
deportation,ˌdipɔɹˈteɪʃən
deposit,dəˈpɑzɪt
deposition,ˌdɛpəˈzɪʃən
depositor,dəˈpɑzɪtɝ
depository,dɪˈpɑzəˌtɔɹi
depravity,dɪˈpɹævəti
depreciation,dɪˌpɹiʃiˈeɪʃən
depredation,ˌdɛpɹəˈdeɪʃən
depression,dɪˈpɹɛʃən
depressive,dɪˈpɹɛsɪv
depth,ˈdɛpθ
deputy,ˈdɛpjəti
derailment,dɪˈɹeɪɫmənt
deregulation,diˌɹɛɡjəˈɫeɪʃən
derelict,ˈdɛɹəˌɫɪkt
dereliction,ˌdɛɹəˈɫɪkʃən
derision,dɝˈɪʒən
derivation,ˌdɛɹəˈveɪʃən
derivative,dɝˈɪvətɪv
deriving,dɝˈaɪvɪŋ
dermatitis,ˌdɝməˈtaɪtɪs
dermatologist,ˌdɝməˈtɑɫədʒɪst
dermatology,ˌdɝməˈtɑɫədʒi
dermis,ˈdɝməs
derrick,ˈdɛɹɪk
derringer,ˈdɛɹəndʒɝ
dervish,ˈdɝvɪʃ
desalination,diˌseɪɫɪˈneɪʃən
descendant,dɪˈsɛndənt
descendants,dɪˈsɛndənts
descent,dɪˈsɛnt
description,dɪsˈkɹɪpʃən
descriptor,dɪsˈkɹɪpˌtɝ
desert,ˈdɛzɝt
deserter,ˈdɛzɝtɝ
desertion,dɪˈzɝʃən
deserts,ˈdɛzɝts
design,dɪˈzaɪn
designation,ˌdɛzəɡˈneɪʃən
designer,dɪˈzaɪnɝ
desirability,dɪˌzaɪɹəˈbɪɫɪti
desire,dɪˈzaɪɝ
desk,ˈdɛsk
desktop,ˈdɛskˌtɑp
desperado,ˌdɛspɝˈɑdoʊ
desperate,ˈdɛspɝɪt
desperation,ˌdɛspɝˈeɪʃən
despite,dɪˈspaɪt
despondency,dɪˈspɑndənsi
dessert,dɪˈzɝt
destabilization,diˌsteɪbəɫəˈzeɪʃən
destination,ˌdɛstəˈneɪʃən
destiny,ˈdɛstəni
destitution,ˈdɛstəˌtuʃən
destroyer,dɪˈstɹɔɪɝ
destruction,dɪˈstɹəkʃən
destructiveness,dɪˈstɹəktɪvnɪs
detachment,diˈtætʃmənt
detail,ˈditeɪɫ
details,ˈditeɪɫz
detainee,ˌditeɪˈni
detection,dɪˈtɛkʃən
detective,dɪˈtɛktɪv
detector,dɪˈtɛktɝ
detente,deɪˈtɑnt
detention,dɪˈtɛnʃən
detergent,dɪˈtɝdʒənt
deterioration,dɪˈtɪɹiɝˌeɪʃən
determent,dɪˈtɝmənt
determinant,dɪˈtɝmənənt
determination,dɪˌtɝməˈneɪʃən
determinism,dɪˈtɝməˌnɪzəm
deterrence,dɪˈtɝəns
detonation,ˌdɛtəˈneɪʃən
detonator,ˈdɛtəˌneɪtɝ
detour,ˈditʊɹ
detox,ˈdiˌtɑks
detoxification,dɪˌtɑksɪfɪˈkeɪʃən
detractor,diˈtɹæktɝ
detriment,ˈdɛtɹəmənt
detritus,ˈdɛtɹətəs
deuce,ˈdus
devaluation,ˌdivæɫjuˈeɪʃən
devastation,ˌdɛvəˈsteɪʃən
developer,dɪˈvɛɫəpɝ
development,dɪˈvɛɫəpmənt
deviation,ˌdiviˈeɪʃən
device,dɪˈvaɪs
devices,dɪˈvaɪsəz
devil,ˈdɛvəɫ
devilwood,ˈdɛvəɫˌwʊd
devise,dɪˈvaɪs
devising,dɪˈvaɪzɪŋ
devolution,ˌdɛvəˈɫuʃən
devotion,dɪˈvoʊʃən
devotional,dɪˈvoʊʃənəɫ
dexterity,dɛkˈstɛɹəti
dextrin,ˈdɛkstɹɪn
dextrose,ˈdɛkstɹoʊs
dhole,ˈdoʊɫ
diabetes,ˌdaɪəˈbitiz
diabetic,ˌdaɪəˈbɛtɪk
diagnosis,ˌdaɪəɡˈnoʊsəs
diagonal,daɪˈæɡənəɫ
diagram,ˈdaɪəˌɡɹæm
dial,ˈdaɪəɫ
dialectic,ˌdaɪəˈɫɛktɪk
dialogue,ˈdaɪəˌɫɔɡ
dialysis,daɪˈæɫəsəs
diamagnetism,ˌdaɪəˈmæɡnɪˌtɪzəm
diameter,daɪˈæmətɝ
diamond,ˈdaɪmənd
diaper,ˈdaɪpɝ
diaphragm,ˈdaɪəˌfɹæm
diapsid,ˌdaɪˈæpsɪd
diarrhea,ˌdaɪɝˈiə
diary,ˈdaɪɝi
diaspora,daɪˈæspɝə
diastole,daɪˈæstəˌɫi
diastrophism,daɪˈæstɹəˌfɪzəm
diathermy,ˈdaɪəˌθɝmi
dibble,ˈdɪbəɫ
dichotomy,daɪˈkɑtəmi
dick,ˈdɪk
dickey,ˈdɪki
dictate,ˈdɪkˌteɪt
dictation,dɪkˈteɪʃən
dictator,ˈdɪkteɪtɝ
dictatorship,dɪkˈteɪtɝˌʃɪp
dictionary,ˈdɪkʃəˌnɛɹi
die,ˈdaɪ
diesel,ˈdisəɫ
diet,ˈdaɪət
dietary,ˈdaɪəˌtɛɹi
dieter,ˈditɝ
dietician,ˌdaɪəˈtɪʃən
difference,ˈdɪfɝəns
differential,ˌdɪfɝˈɛnʃəɫ
differentiation,ˌdɪfɝˌɛntʃiˈeɪʃən
difficulty,ˈdɪfəkəɫti
diffusion,dɪfˈjuʒən
dig,ˈdɪɡ
digest,ˈdaɪdʒɛst
digester,ˈdaɪˌdʒɛstɝ
digestion,daɪˈdʒɛstʃən
digestive,daɪˈdʒɛstɪv
digger,ˈdɪɡɝ
digit,ˈdɪdʒət
digitalis,ˌdɪdʒəˈtæɫəs
dignity,ˈdɪɡnəti
digression,daɪˈɡɹɛʃən
dilatation,ˌdɪɫəˈteɪʃən
dilation,ˌdaɪˈɫeɪʃən
dildo,ˈdɪɫˌdoʊ
dilemma,dɪˈɫɛmə
diligence,ˈdɪɫədʒəns
dill,ˈdɪɫ
diltiazem,dɪɫˈtiəˌzɛm
dilution,daɪˈɫuʃən
dime,ˈdaɪm
dimension,dɪˈmɛnʃən
dimensionality,dɪˌmɛnʃəˈnæɫəti
dimer,ˈdaɪmɝ
diminution,ˌdɪməˈnuʃən
diminutive,dɪˈmɪnjətɪv
dimmer,ˈdɪmɝ
dimorphism,daɪˈmɔɹfɪzəm
dimple,ˈdɪmpəɫ
diner,ˈdaɪnɝ
ding,ˈdɪŋ
dinghy,ˈdɪŋi
dingo,ˈdɪŋɡoʊ
dining,ˈdaɪnɪŋ
dinky,ˈdɪŋki
dinner,ˈdɪnɝ
dinnertime,ˈdɪnɝˌtaɪm
dinnerware,ˈdɪnɝˌwɛɹ
dinosaur,ˈdaɪnəˌsɔɹ
dint,ˈdɪnt
diocesan,daɪˈɑsəsən
diocese,ˈdaɪəˌsiz
diode,ˈdaɪˌoʊd
diorite,ˈdaɪɝˌaɪt
dioxide,daɪˈɑkˌsaɪd
dioxin,ˌdaɪˈɑksɪn
dip,ˈdɪp
diphtheria,dɪfˈθɪɹiɑ
diphthong,ˈdɪfˌθɔŋ
diploma,dɪˈpɫoʊmɑ
diplomacy,dɪˈpɫoʊməsi
diplomat,ˈdɪpɫəˌmæt
dipole,ˈdaɪˌpoʊɫ
dipper,ˈdɪpɝ
dipstick,ˈdɪpˌstɪk
direction,daɪˈɹɛkʃɪn
directive,daɪˈɹɛktɪv
directness,daɪˈɹɛknəs
director,daɪˈɹɛktɝ
directorate,daɪˈɹɛktɝət
directorship,daɪˈɹɛktɝˌʃɪp
directory,daɪˈɹɛktɝi
dirge,ˈdɝdʒ
dirk,ˈdɝk
dirt,ˈdɝt
disabled,dɪˈseɪbəɫd
disadvantage,ˌdɪsədˈvænɪdʒ
disaffection,ˌdɪsəˈfɛkʃən
disagreement,dɪsəˈɡɹimənt
disappearance,ˌdɪsəˈpiɹəns
disappointment,ˌdɪsəˈpɔɪntmənt
disapproval,dɪsəˈpɹuvəɫ
disarming,dɪˈsɑɹmɪŋ
disarray,ˌdɪsəˈɹeɪ
disaster,dɪˈzæstɝ
disbarment,ˌdɪsˈbɑɹmənt
discard,dɪˈskɑɹd
discernment,dɪˈsɝnmənt
discharge,ˈdɪsˌtʃɑɹdʒ
disciple,dɪˈsaɪpəɫ
discipline,ˈdɪsəpɫən
disclaimer,dɪˈskɫeɪmɝ
disclosure,dɪˈskɫoʊʒɝ
disco,ˈdɪskoʊ
discoloration,dɪˌskəɫɝˈeɪʃən
discomfort,dɪˈskəmfɝt
disconnection,ˌdɪskəˈnɛkʃən
discontinuance,ˌdɪskənˈtɪnjuəns
discontinuity,dɪˌskɑntɪˈnuɪti
discord,ˈdɪskɔɹd
discount,ˈdɪskaʊnt
discouragement,dɪˈskɝɪdʒmənt
discourse,ˈdɪskɔɹs
discovery,ˌdɪsˈkəvɹi
discrepancy,dɪsˈkɹɛpənsi
discretion,dɪsˈkɹɛʃən
discrimination,dɪsˌkɹɪməˈneɪʃən
discus,ˈdɪskəs
discussion,dɪˈskəʃən
disease,dɪˈziz
disenchantment,dɪsɪnˈtʃæntmənt
disenfranchisement,dɪsɪnˈfɹænˌtʃaɪzmənt
disengagement,dɪsɪnˈɡeɪdʒmənt
disequilibrium,dɪˌsikwəˈɫɪbɹiəm
disestablishment,dɪsɪˈstæbɫɪʃmənt
disfavor,dɪsˈfeɪvɝ
disfigurement,dɪsˈfɪɡjɝmɛnt
disgruntlement,dɪsˈɡɹəntəɫmənt
disguise,dɪsˈɡaɪz
disgust,dɪsˈɡəst
dish,ˈdɪʃ
disharmony,dɪsˈhɑɹməni
dishonesty,dɪˈsɑnəsti
dishonor,dɪˈsɑnɝ
dishwasher,ˈdɪʃˌwɑʃɝ
dishwashing,ˈdɪʃˌwɑʃɪŋ
disincentive,ˌdɪsɪnˈsɛntɪv
disinclination,dɪsɪnkɫəˈneɪʃən
disinfectant,dɪsɪnˈfɛktənt
disinfection,dɪsɪnˈfɛkʃən
disinflation,ˌdɪsɪnˈfɫeɪʃən
disinformation,dɪˌzɪnfɝˈmeɪʃən
disingenuousness,ˌdɪsɪnˈdʒɛnjuəsnəs
disinterest,dɪˈsɪntɝəst
disinvestment,dɪsɪnˈvɛsmənt
disk,ˈdɪsk
diskette,dɪˈskɛt
dislike,dɪˈsɫaɪk
dislocation,dɪˈsɫoʊˈkeɪʃən
disloyalty,dɪˈsɫɔɪəɫti
dismantling,ˌdɪsˈmæntɫɪŋ
dismemberment,dɪsˈmɛmbɝmənt
dismissal,dɪsˈmɪsəɫ
disobedience,ˌdɪsəˈbidiəns
disorder,dɪˈsɔɹdɝ
disorganization,dɪˌsɔɹɡənəˈzeɪʃən
disorientation,dɪˌsɔɹiənˈteɪʃən
disparity,dɪˈspɛɹəti
dispatch,dɪˈspætʃ
dispatcher,ˈdɪsˌpætʃɝ
dispensary,ˈdɪspɛnˌsɛɹi
dispensation,ˌdɪspənˈseɪʃən
dispenser,dɪˈspɛnsɝ
dispersion,dɪˈspɝʒən
displacement,dɪsˈpɫeɪsmənt
display,dɪsˈpɫeɪ
displeasure,dɪsˈpɫɛʒɝ
disposable,dɪˈspoʊzəbəɫ
disposal,dɪˈspoʊzəɫ
disposition,ˌdɪspəˈzɪʃən
dispute,dɪˈspjut
disqualification,dɪsˌkwɑɫəfəˈkeɪʃən
disquiet,dɪsˈkwaɪət
disregard,ˌdɪsɹɪˈɡɑɹd
disrepute,ˌdɪsɹɪpˈjut
disrespect,ˌdɪsɹɪˈspɛkt
disruption,dɪsˈɹəpʃən
dissatisfaction,ˌdɪsætɪsˈfækʃən
dissection,ˈdaɪsɛkʃən
dissemination,dɪˌsɛməˈneɪʃən
dissent,dɪˈsɛnt
dissenter,dɪˈsɛntɝ
dissertation,ˌdɪsɝˈteɪʃən
disservice,dɪˈsɝvəs
dissidence,ˈdɪsədəns
dissimilarity,ˌdɪˌsɪməˈɫæɹəti
dissipation,ˌdɪsɪˈpeɪʃən
dissociation,dɪˌsoʊsiˈeɪʃən
dissolution,ˌdɪsəˈɫuʃən
dissolve,dɪˈzɑɫv
dissolving,dɪˈzɔɫvɪŋ
dissonance,ˈdɪsənəns
distance,ˈdɪstəns
distemper,dɪˈstɛmpɝ
distillation,ˌdɪstəˈɫeɪʃən
distiller,dɪˈstɪɫɝ
distillery,dɪˈstɪɫɝi
distinction,dɪˈstɪŋkʃən
distortion,dɪˈstɔɹʃən
distraction,dɪˈstɹækʃən
distress,dɪˈstɹɛs
distribution,ˌdɪstɹəbˈjuʃən
distributor,dɪˈstɹɪbjətɝ
district,ˈdɪstɹɪkt
distrust,dɪˈstɹəst
disturbance,dɪˈstɝbəns
disunion,dɪsˈjunjən
disunity,dɪsˈjunəti
ditch,ˈdɪtʃ
dither,ˈdɪðɝ
dithering,ˈdɪðɝɪŋ
dithyramb,ˈdɪθɝˌæm
ditty,ˈdɪti
divan,dɪˈvæn
dive,ˈdaɪv
diver,ˈdaɪvɝ
divergence,daɪˈvɝdʒəns
diversification,daɪˌvɝsəfəˈkeɪʃən
diversion,daɪˈvɝʒən
diversity,daɪˈvɝsɪti
diverticulum,ˌdaɪvɝˈtɪkjəɫəm
divertimento,dɪˌvɝtəˈmɛnˌtoʊ
divestiture,daɪˈvɛstɪtʃɝ
divide,dɪˈvaɪd
dividend,ˈdɪvɪˌdɛnd
divider,dɪˈvaɪdɝ
divination,ˌdɪvəˈneɪʃən
diving,ˈdaɪvɪŋ
divinity,dɪˈvɪnəti
division,dɪˈvɪʒən
divisor,dɪˈvaɪzɝ
divorce,dɪˈvɔɹs
divorcee,dəˈvɔɹˌseɪ
divvy,ˈdɪvi
do,ˈdu
dobson,ˈdɑbsən
docent,ˈdoʊsənt
docility,dɑˈsɪɫəti
dock,ˈdɑk
docket,ˈdɑkət
dockside,ˈdɑkˌsaɪd
dockyard,ˈdɑkˌjɑɹd
doctor,ˈdɑktɝ
doctrine,ˈdɑktɹən
document,ˈdɑkjəmɛnt
documentary,ˌdɑkjəˈmɛnɝi
documentation,ˌdɑkjəmɛnˈteɪʃən
dodge,ˈdɑdʒ
dodger,ˈdɑdʒɝ
dodo,ˈdoʊdoʊ
doe,ˈdoʊ
dog,ˈdɔɡ
doge,ˈdoʊdʒ
dogfight,ˈdɑɡˌfaɪt
dogfish,ˈdɔɡˌfɪʃ
doggerel,ˈdɑɡɝəɫ
doghouse,ˈdɔɡˌhaʊs
dogma,ˈdɑɡmə
dogwood,ˈdɔˌɡwʊd
doily,ˈdɔɪɫi
dol,ˈdɑɫ
doldrums,ˈdoʊɫdɹəmz
dole,ˈdoʊɫ
doll,ˈdɑɫ
dollar,ˈdɑɫɝ
dollhouse,ˈdɑɫˌhaʊs
dollop,ˈdɑɫəp
dolly,ˈdɑɫi
dolman,ˈdɑɫmən
dolomite,ˈdoʊɫəˌmaɪt
dolphin,ˈdɑɫfən
domain,doʊˈmeɪn
dome,ˈdoʊm
domestic,dəˈmɛstɪk
domestication,dəˌmɛstəˈkeɪʃən
domesticity,ˌdoʊˌmɛsˈtɪsəti
dominance,ˈdɑmənəns
dominant,ˈdɑmənənt
domination,ˌdɑməˈneɪʃən
dominion,dəˈmɪnjən
domino,ˈdɑməˌnoʊ
dominoes,ˈdɑməˌnoʊz
dominus,doʊˈminəs
don,ˈdɑn
dong,ˈdɔŋ
donkey,ˈdɑŋki
donna,ˈdɑnə
donor,ˈdoʊnɝ
doodad,ˈduˌdæd
doom,ˈdum
doomed,ˈdumd
door,ˈdɔɹ
doorbell,ˈdɔɹˌbɛɫ
doorkeeper,ˈdɔɹˌkipɝ
doorknob,ˈduɹnɑb
doormat,ˈdɔɹˌmæt
doornail,ˈdɔɹˌneɪɫ
doorsill,ˈdɔɹsɪɫ
doorway,ˈdɔɹˌweɪ
dopamine,ˈdɑpəˌmaɪn
dope,ˈdoʊp
dormancy,ˈdɔɹmənsi
dormer,ˈdɔɹmɝ
dormitory,ˈdɔɹməˌtɔɹi
dory,ˈdɔɹi
dose,ˈdoʊs
dossier,ˌdɔsˈjeɪ
dot,ˈdɑt
double,ˈdəbəɫ
doubles,ˈdəbəɫz
doublespeak,ˈdəbəɫˌspik
doublethink,ˈdəbəɫˌθɪŋk
doubletree,ˈdəbəɫˌtɹi
doubling,ˈdəbəɫɪŋ
doubt,ˈdaʊt
douche,ˈduʃ
dough,ˈdoʊ
doughboy,ˈdoʊˌbɔɪ
doughnut,ˈdoʊˌnət
dove,ˈdəv
dovecote,ˈdəvˌkoʊt
dovetail,ˈdəvˌteɪɫ
dowager,ˈdaʊədʒɝ
dowel,ˈdaʊəɫ
dower,ˈdaʊɹ
down,ˈdaʊn
downbeat,daʊnˈbit
downcast,ˈdaʊnˌkæst
downdraft,ˈdaʊnˌdɹæft
downfall,ˈdaʊnˌfɔɫ
downgrade,ˈdaʊnˈɡɹeɪd
downhill,ˈdaʊnˈhɪɫ
downpour,ˈdaʊnpɔɹ
downside,ˈdaʊnˌsaɪd
downstage,ˈdaʊnˌsteɪdʒ
downswing,ˈdaʊnˌswɪŋ
downtime,ˈdaʊnˌtaɪm
downturn,ˈdaʊnˌtɝn
dowry,ˈdaʊɹi
dowse,ˈdaʊs
doxology,dɑkˈsɑɫədʒi
doyenne,ˌdɔɪˈɛn
doze,ˈdoʊz
drachma,ˈdɹækmə
draft,ˈdɹæft
draftee,ˈdɹæfˈti
drafter,ˈdɹæftɝ
drafting,ˈdɹæftɪŋ
draftsman,ˈdɹæftsmən
drag,ˈdɹæɡ
dragnet,ˈdɹæɡˌnɛt
dragon,ˈdɹæɡən
dragonhead,ˈdɹæɡənˌhɛd
drain,ˈdɹeɪn
drake,ˈdɹeɪk
dram,ˈdiˌɹæm
drama,ˈdɹɑmə
dramatics,dɹəˈmætɪks
dramatist,ˈdɹɑmətɪst
dramatization,ˌdɹæmətəˈzeɪʃən
dramaturgy,ˈdɹɑmətɝdʒi
drape,ˈdɹeɪp
draper,ˈdɹeɪpɝ
drapery,ˈdɹeɪpɝi
draw,ˈdɹɔ
drawback,ˈdɹɔˌbæk
drawbridge,ˈdɹɔˌbɹɪdʒ
drawer,ˈdɹɔɹ
drawers,ˈdɹɔɹz
drawing,ˈdɹɔɪŋ
drawl,ˈdɹɔɫ
dray,ˈdɹeɪ
dreadnought,ˈdɹɛdˌnɔt
dream,ˈdɹim
dreamer,ˈdɹimɝ
dredge,ˈdɹɛdʒ
dregs,ˈdɹɛɡz
drenching,ˈdɹɛntʃɪŋ
dress,ˈdɹɛs
dressage,dɹɛˈsɑʒ
dresser,ˈdɹɛsɝ
dressing,ˈdɹɛsɪŋ
dressmaker,ˈdɹɛsˌmeɪkɝ
dressmaking,ˈdɹɛsˌmeɪkɪŋ
drey,ˈdɹeɪ
dribble,ˈdɹɪbəɫ
drift,ˈdɹɪft
drifting,ˈdɹɪftɪŋ
driftwood,ˈdɹɪftˌwʊd
drill,ˈdɹɪɫ
drilling,ˈdɹɪɫɪŋ
drink,ˈdɹɪŋk
drinker,ˈdɹɪŋkɝ
drinking,ˈdɹɪŋkɪŋ
drip,ˈdɹɪp
dripping,ˈdɹɪpɪŋ
drive,ˈdɹaɪv
drivel,ˈdɹɪvəɫ
driver,ˈdɹaɪvɝ
driveway,ˈdɹaɪvˌweɪ
driving,ˈdɹaɪvɪŋ
drizzle,ˈdɹɪzəɫ
drogue,ˈdɹoʊɡ
drone,ˈdɹoʊn
drool,ˈdɹuɫ
drop,ˈdɹɑp
droplet,ˈdɹɑpɫət
dropout,ˈdɹɑˌpaʊt
droppings,ˈdɹɑpɪŋz
drought,ˈdɹaʊt
drove,ˈdɹoʊv
drudge,ˈdɹədʒ
drudgery,ˈdɹədʒɝi
drug,ˈdɹəɡ
druidism,ˈdɹuəˌdɪzəm
drum,ˈdɹəm
drumbeat,ˈdɹəmˌbit
drumhead,ˈdɹəmˌhɛd
drummer,ˈdɹəmɝ
drumming,ˈdɹəmɪŋ
drumstick,ˈdɹəmstɪk
drunk,ˈdɹəŋk
drunkard,ˈdɹəŋkɝd
