abandoned,əˈbændənd
breezy,ˈbɹizi
bridal,ˈbɹaɪdəɫ
brief,ˈbɹif
bright,ˈbɹaɪt
brilliant,ˈbɹɪɫjənt
brisk,ˈbɹɪsk
brittle,ˈbɹɪtəɫ
broad,ˈbɹɔd
broadband,ˈbɹɔdˌbænd
broadside,ˈbɹɔdˌsaɪd
broiled,ˈbɹɔɪɫd
broke,ˈbɹoʊk
broken,ˈbɹoʊkən
bronchial,ˈbɹɑntʃiəɫ
bronze,ˈbɹɑnz
bronzed,ˈbɹɑnzd
brooding,ˈbɹudɪŋ
broody,ˈbɹudi
brotherly,ˈbɹəðɝɫi
brown,ˈbɹaʊn
brunet,bɹuˈnɛt
brushed,ˈbɹəʃt
brusque,ˈbɹəsk
brut,ˈbɹut
bubbling,ˈbəbəɫɪŋ
bubbly,ˈbəbəɫi
bubonic,bjuˈbɑnɪk
buccal,ˈbjukəɫ
bucolic,bjuˈkɑɫɪk
budding,ˈbədɪŋ
budgetary,ˈbədʒɪˌtɛɹi
buff,ˈbəf
buffeted,ˈbəˌfɪtɪd
bugged,ˈbəɡd
buggy,ˈbəɡi
built,ˈbɪɫt
bulimic,bjuˈɫɪmɪk
bulky,ˈbəɫki
bulletproof,ˈbʊɫətˌpɹuf
bullish,ˈbʊɫɪʃ
bum,ˈbəm
bumbling,ˈbəmbəɫɪŋ
bumpy,ˈbəmpi
bungled,ˈbəŋɡəɫd
bungling,ˈbəŋɡəɫɪŋ
buoyant,ˈbɔɪənt
burbling,ˈbɝbɫɪŋ
burdensome,ˈbɝdənsəm
bureaucratic,ˌbjʊɹəˈkɹætɪk
buried,ˈbɛɹid
burlesque,bɝˈɫɛsk
burnable,ˈbɝnəbəɫ
burned,ˈbɝnd
burning,ˈbɝnɪŋ
burst,ˈbɝst
bushwhacking,ˈbʊʃˌwækɪŋ
bushy,ˈbʊʃi
businesslike,ˈbɪznɪˌsɫaɪk
bustling,ˈbəsəɫɪŋ
busy,ˈbɪzi
butch,ˈbʊtʃ
buttery,ˈbətɝi
buttoned,ˈbətənd
bygone,ˈbaɪˌɡɔn
cagey,ˈkeɪdʒi
calculated,ˈkæɫkjəˌɫeɪtɪd
calculating,ˈkæɫkjəˌɫeɪtɪŋ
calibrated,ˈkæɫəˌbɹeɪtəd
calico,ˈkæɫəˌkoʊ
calisthenic,ˌkæɫəsˈθɛnɪk
callable,ˈkɔɫəbəɫ
caller,ˈkɔɫɝ
calligraphic,ˌkæɫəˈɡɹæfɪk
callous,ˈkæɫəs
calloused,ˈkæɫəst
calm,ˈkɑɫm
caloric,kəˈɫɔɹɪk
camouflaged,ˈkæməˌfɫɑʒd
canary,kəˈnɛɹi
cancerous,ˈkænsɝəs
candid,ˈkændəd
candied,ˈkændid
canine,ˈkeɪˌnaɪn
canned,ˈkænd
canonic,kəˈnɑnək
canonized,ˈkænəˌnaɪzd
cantonal,ˈkæntənəɫ
capable,ˈkeɪpəbəɫ
capacious,kəˈpeɪʃəs
capillary,ˈkæpəˌɫɛɹi
capital,ˈkæpətəɫ
capitalist,ˈkæpətəɫɪst
capitalistic,ˌkæpɪtəˈɫɪstɪk
capped,ˈkæpt
capricious,kəˈpɹɪʃəs
captivated,ˈkæptɪˌveɪtɪd
captive,ˈkæptɪv
caramel,ˈkɛɹəməɫ
carbonated,ˈkɑɹbəˌneɪtɪd
carboniferous,ˌkɑɹbəˈnɪfɝəs
carcinogenic,ˌkɑɹsənoʊˈdʒɛnɪk
cardboard,ˈkɑɹdˌbɔɹd
cardiac,ˈkɑɹdiˌæk
cardinal,ˈkɑɹdənəɫ
cardiopulmonary,ˌkɑɹdioʊˈpʊɫməˌnɛɹi
cardiovascular,ˌkɑɹdioʊˈvæskjəɫɝ
carefree,ˈkɛɹˌfɹi
careful,ˈkɛɹfəɫ
careless,ˈkɛɹɫəs
caring,ˈkɛɹɪŋ
carnal,ˈkɑɹnəɫ
carnation,kɑɹˈneɪʃən
carnivorous,kɑɹˈnɪvɝəs
carotid,kɝˈɑtɪd
carpal,ˈkɑɹpəɫ
carpeted,ˈkɑɹpətɪd
carved,ˈkɑɹvd
cashed,ˈkæʃt
castrated,ˈkæsˌtɹeɪtɪd
casual,ˈkæʒəwəɫ
catalogued,ˈkætəˌɫɔɡd
catalytic,ˌkætəˈɫɪtɪk
catastrophic,ˌkætəˈstɹɑfɪk
catatonic,ˌkætəˈtɑnɪk
catching,ˈkætʃɪŋ
catchy,ˈkæˌtʃi
categorical,ˌkætəˈɡɑɹɪkəɫ
categorized,ˈkætəɡɝˌaɪzd
cathartic,kəˈθɑɹtɪk
cathedral,kəˈθidɹəɫ
catholic,ˈkæθɫɪk
caudal,ˈkɑdəɫ
causal,ˈkɔzəɫ
causative,ˈkɑzətɪv
caustic,ˈkɑstɪk
cautionary,ˈkɔʃəˌnɛɹi
cautious,ˈkɔʃəs
cavalier,ˈkævəɫiɹ
cavernous,ˈkævɝnəs
ceaseless,ˈsisɫɪs
celebrated,ˈsɛɫəˌbɹeɪtɪd
celebratory,səˈɫɛbɹəˌtɔɹi
celestial,səˈɫɛstʃəɫ
celibate,ˈsɛɫɪbət
cellular,ˈsɛɫjəɫɝ
celluloid,ˈsɛɫəˌɫɔɪd
censored,ˈsɛnsɝd
centenarian,ˌsɛntəˈnɛɹiən
centennial,sɛnˈtɛniəɫ
center,ˈsɛnɝ
centered,ˈsɛntɝd
centigrade,ˈsɛntəˌɡɹeɪd
central,ˈsɛntɹəɫ
centralizing,ˈsɛntɹəˌɫaɪzɪŋ
centrifugal,ˈsɛntɹɪfˌjuɡəɫ
centrist,ˈsɛntɹɪst
cephalopod,ˈsɛfəɫəˌpɑd
ceramic,sɝˈæmɪk
cereal,ˈsɪɹiəɫ
cerebral,ˈsɛɹəbɹəɫ
certain,ˈsɝtən
certified,ˈsɝtəˌfaɪd
cervical,ˈsɝvəkəɫ
cetacean,siˈteɪʃən
chaffy,ˈtʃæfi
challenging,ˈtʃæɫəndʒɪŋ
chambered,ˈtʃeɪmbɝd
champion,ˈtʃæmpiən
chancy,ˈtʃænsi
changeable,ˈtʃeɪndʒəbəɫ
changed,ˈtʃeɪndʒd
changing,ˈtʃeɪndʒɪŋ
chanted,ˈtʃæntɪd
chaotic,keɪˈɑtɪk
characteristic,ˌkɛɹəktɝˈɪstɪk
charcoal,ˈtʃɑɹˌkoʊɫ
chargeable,ˈtʃɑɹdʒəbəɫ
charged,ˈtʃɑɹdʒd
charismatic,kɛɹɪzˈmætɪk
charitable,ˈtʃæɹətəbəɫ
charming,ˈtʃɑɹmɪŋ
chartered,ˈtʃɑɹtɝd
chartreuse,ʃɑɹˈtɹus
chaste,ˈtʃeɪst
chatty,ˈtʃæti
chauvinistic,ˌtʃoʊvəˈnɪstɪk
checked,ˈtʃɛkt
checkered,ˈtʃɛkɝd
cheerful,ˈtʃɪɹfəɫ
cheering,ˈtʃɪɹɪŋ
cheery,ˈtʃɪɹi
chemical,ˈkɛməkəɫ
cherished,ˈtʃɛɹɪʃt
chestnut,ˈtʃɛsˌnət
chewy,ˈtʃui
chicken,ˈtʃɪkən
chief,ˈtʃif
childbearing,ˈtʃaɪɫdˌbɛɹɪŋ
childish,ˈtʃaɪɫdɪʃ
childlike,ˈtʃaɪɫdˌɫaɪk
chilling,ˈtʃɪɫɪŋ
chimerical,kɪˈmɛɹəkəɫ
chipper,ˈtʃɪpɝ
chirpy,ˈtʃɝpi
chiseled,ˈtʃɪzəɫd
chitinous,ˈkaɪtənəs
choice,ˈtʃɔɪs
choked,ˈtʃoʊkt
choleric,ˈkɑɫɝɪk
chopped,ˈtʃɑpt
choppy,ˈtʃɑpi
choral,ˈkɔɹəɫ
choreographic,ˌkɔɹiəˈɡɹæfɪk
choric,ˈkɔɹɪk
christian,ˈkɹɪstʃən
chromosomal,ˈkɹoʊməˌsoʊməɫ
chronic,ˈkɹɑnɪk
chronological,ˌkɹɑnəˈɫɑdʒɪkəɫ
chummy,ˈtʃəmi
chunky,ˈtʃəŋki
churchgoing,ˈtʃɝtʃˌɡoʊɪŋ
churlish,ˈtʃɝɫɪʃ
churning,ˈtʃɝnɪŋ
cinematic,ˌsɪnəˈmætɪk
circadian,sɝˈkeɪdiən
circuitous,sɝkˈjuɪtəs
circular,ˈsɝkjəɫɝ
circulating,ˈsɝkjəˌɫeɪtɪŋ
circulatory,ˈsɝkjəɫəˌtɔɹi
circumscribed,ˌsɝkəmsˈkɹaɪbd
circumspect,ˈsɝkəmˌspɛkt
citric,ˈsɪtɹɪk
citywide,ˈsɪtiˌwaɪd
civic,ˈsɪvɪk
civil,ˈsɪvəɫ
civilian,səˈvɪɫjən
civilized,ˈsɪvəˌɫaɪzd
clad,ˈkɫæd
clairvoyant,kɫɛɹˈvɔɪənt
clammy,ˈkɫæmi
clandestine,kɫænˈdɛstɪn
clanking,ˈkɫæŋkɪŋ
clannish,ˈkɫænɪʃ
clarified,ˈkɫɛɹəˌfaɪd
clarifying,ˈkɫɛɹəˌfaɪɪŋ
clarion,ˈkɫɛɹiən
clashing,ˈkɫæʃɪŋ
classical,ˈkɫæsɪkəɫ
classifiable,ˈkɫæsəˌfaɪəbəɫ
classified,ˈkɫæsəˌfaɪd
classless,ˈkɫæsɫəs
claustrophobic,ˌkɫɔstɹəˈfoʊbɪk
clawed,ˈkɫɔd
clayey,ˈkɫeɪi
clean,ˈkɫin
cleanly,ˈkɫinɫi
cleansing,ˈkɫɛnzɪŋ
clear,ˈkɫɪɹ
cleared,ˈkɫɪɹd
cleft,ˈkɫɛft
clement,ˈkɫɛmənt
clenched,ˈkɫɛntʃt
clerical,ˈkɫɛɹəkəɫ
clever,ˈkɫɛvɝ
cliched,ˌkɫiˈʃeɪd
climactic,kɫaɪˈmæktɪk
climatic,kɫaɪˈmætɪk
clinical,ˈkɫɪnəkəɫ
clipped,ˈkɫɪpt
cloaked,ˈkɫoʊkt
clockwise,ˈkɫɑˌkwaɪz
clogged,ˈkɫɔɡd
clogging,ˈkɫɑɡɪŋ
cloistered,ˈkɫɔɪstɝd
close,ˈkɫoʊs
closed,ˈkɫoʊzd
clothed,ˈkɫoʊðd
clouded,ˈkɫaʊdɪd
cloudless,ˈkɫaʊdɫəs
cloudy,ˈkɫaʊdi
cloying,ˈkɫɔɪɪŋ
clueless,ˈkɫuɫəs
clustered,ˈkɫəstɝd
cluttered,ˈkɫətɝd
coagulate,koʊˈæɡjəˌɫeɪt
coarse,ˈkɔɹs
coastal,ˈkoʊstəɫ
coated,ˈkoʊtəd
coaxial,ˈkoʊˈæksiəɫ
coaxing,ˈkoʊksɪŋ
cochlear,ˈkɑkɫiɝ
cockamamie,ˌkɔkəˈmeɪmi
cockney,ˈkɑkni
codified,ˈkɑdəˌfaɪd
coercive,koʊˈɝsɪv
cogent,ˈkoʊdʒənt
cognitive,ˈkɑɡnɪtɪv
coherent,koʊˈhɪɹənt
cohesive,koʊˈhisɪv
coiled,ˈkɔɪɫd
coiling,ˈkɔɪˌɫɪŋ
coincident,koʊˈɪnsədənt
cold,ˈkoʊɫd
collaborative,kəˈɫæbɝˌeɪtɪv
collapsible,kəˈɫæpsəbəɫ
collateral,kəˈɫætɝəɫ
collect,kəˈɫɛkt
collected,kəˈɫɛktəd
collectible,kəˈɫɛktəbəɫ
collective,kəˈɫɛktɪv
collectivist,kəˈɫɛktɪvɪst
collectivized,kəˈɫɛktɪˌvaɪzd
collegial,kəˈɫidʒiəɫ
collegiate,kəˈɫidʒɪt
colloidal,kəˈɫɔɪdəɫ
collusive,kəˈɫusɪv
colonial,kəˈɫoʊniəɫ
colonized,ˈkɑɫəˌnaɪzd
color,ˈkəɫɝ
colorectal,ˌkoʊɫoʊˈɹɛktəɫ
colored,ˈkəɫɝd
colorfast,ˈkəɫɝˌfæst
colorful,ˈkəɫɝfəɫ
colorless,ˈkəɫɝɫəs
colossal,kəˈɫɑsəɫ
columned,ˈkɑɫəmd
comatose,ˈkoʊməˌtoʊs
combatant,kəmˈbætənt
combed,ˈkoʊmd
combinable,kəmˈbaɪnəbəɫ
combined,kəmˈbaɪnd
cometary,ˈkɑməˌtɛɹi
comfortable,ˈkəmfɝtəbəɫ
comforted,ˈkəmfɝtɪd
comforting,ˈkəmfɝtɪŋ
comic,ˈkɑmɪk
commanding,kəˈmændɪŋ
commemorative,kəˈmɛmɝˌeɪtɪv
commensurate,kəˈmɛnsɝət
commercial,kəˈmɝʃəɫ
commercialized,kəˈmɝʃəˌɫaɪzd
commissioned,kəˈmɪʃənd
committed,kəˈmɪtɪd
commodious,kəˈmoʊdiəs
common,ˈkɑmən
commonplace,ˈkɑmənˌpɫeɪs
commonsense,ˌkɑmənˈsɛns
communal,kəmˈjunəɫ
communicable,kəmˈjunəkəbəɫ
communicative,kəmˈjunəkətɪv
communist,ˈkɑmjənəst
compact,ˈkɑmpækt
comparable,ˈkɑmpɝəbəɫ
comparative,kəmˈpɛɹətɪv
compartmental,kəmˌpɑɹtˈmɛntəɫ
compassionate,kəmˈpæʃənət
compatible,kəmˈpætəbəɫ
compelling,kəmˈpɛɫɪŋ
compensable,kəmˈpɛnsəbəɫ
compensated,ˈkɑmpənˌseɪtəd
competent,ˈkɑmpətɪnt
competing,kəmˈpitɪŋ
competitive,kəmˈpɛtətɪv
complacent,kəmˈpɫeɪsənt
complaining,kəmˈpɫeɪnɪŋ
complaisant,kəmˈpɫeɪsənt
complete,kəmˈpɫit
completed,kəmˈpɫitəd
complex,ˈkɑmpɫɛks
compliant,kəmˈpɫaɪənt
complicated,ˈkɑmpɫəˌkeɪtəd
complimentary,ˌkɑmpɫəˈmɛntɝi
composed,kəmˈpoʊzd
composite,kɑmˈpɑzət
compositional,ˌkɑmpəˈzɪʃənəɫ
compound,ˈkɑmpaʊnd
compounded,kəmˈpaʊndəd
comprehensible,ˌkɑmpɹiˈhɛnsəbəɫ
comprehensive,ˌkɑmpɹiˈhɛnsɪv
compressed,kəmˈpɹɛst
compromising,ˈkɑmpɹəˌmaɪzɪŋ
compulsive,kəmˈpəɫsɪv
computational,ˌkɑmpjuˈteɪʃənəɫ
computerized,kəmˈpjutɝˌaɪzd
concave,ˈkɑnkeɪv
concealed,kənˈsiɫd
concealing,kənˈsiɫɪŋ
conceited,kənˈsitəd
conceived,kənˈsivd
concentrated,ˈkɑnsənˌtɹeɪtɪd
concentric,kənˈsɛntɹɪk
conceptual,kənˈsɛptʃuəɫ
concerned,kənˈsɝnd
conciliatory,kənˈsɪˌɫiəˌtɔɹi
concise,kənˈsaɪs
conclusive,kənˈkɫusɪv
concrete,ˈkɑnkɹit
conditional,kənˈdɪʃənəɫ
conditioned,kənˈdɪʃənd
conducive,kənˈdusɪv
conductive,kənˈdəktɪv
confident,ˈkɑnfədənt
confidential,ˌkɑnfəˈdɛnʃəɫ
confiding,kənˈfaɪdɪŋ
configured,kənˈfɪɡjɝd
confined,kənˈfaɪnd
confining,kənˈfaɪnɪŋ
confirmed,kənˈfɝmd
conflicting,kənˈfɫɪktɪŋ
confluent,kɑnˈfɫuənt
conforming,kənˈfɔɹmɪŋ
conformist,kənˈfɔɹmɪst
confounding,kənˈfaʊndɪŋ
confrontational,ˌkɑnfɹənˈteɪʃənəɫ
confused,kənˈfjuzd
confusing,kənˈfjuzɪŋ
congealed,kənˈdʒiɫd
congenial,kənˈdʒinjəɫ
congenital,kənˈdʒɛnətəɫ
congestive,kənˈdʒɛstɪv
conglomerate,kənˈɡɫɑmɝət
congregational,ˌkɑŋɡɹəˈɡeɪʃənəɫ
congressional,kənˈɡɹɛʃənəɫ
congruent,ˈkɔnɡɹuˌɛnt
conic,ˈkɑnɪk
conjoined,ˌkɑnˈdʒɔɪnd
conjugal,ˈkɑndʒəɡəɫ
conjugate,ˈkɑndʒəˌɡeɪt
connected,kəˈnɛktɪd
connecting,kəˈnɛktɪŋ
connective,kəˈnɛktɪv
connotational,ˌkɑnəˈteɪʃənəɫ
conscientious,ˌkɑnʃiˈɛnʃəs
conscious,ˈkɑnʃəs
consecrated,ˈkɑnsəˌkɹeɪtɪd
consecutive,kənˈsɛkjətɪv
consensual,kənˈsɛnsuəɫ
consenting,kənˈsɛnɪŋ
consequential,ˌkɑnsəˈkwɛnʃəɫ
conservative,kənˈsɝvətɪv
conserved,kənˈsɝvd
considerable,kənˈsɪdɝəbəɫ
considerate,kənˈsɪdɝət
considered,kənˈsɪdɝd
consistent,kənˈsɪstənt
consolable,kənˈsoʊɫəbəɫ
consolidated,kənˈsɑɫəˌdeɪtəd
consonant,ˈkɑnsənənt
consonantal,ˌkɑnsəˈnɑnəɫ
conspicuous,kənˈspɪkjuəs
conspiratorial,kənˌspɪɹəˈtɔɹiəɫ
constant,ˈkɑnstənt
constipated,ˈkɑnstəˌpeɪtəd
constitutional,ˌkɑnstəˈtuʃənəɫ
constrained,kənˈstɹeɪnd
constricted,kənˈstɹɪktəd
constricting,kənˈstɹɪktɪŋ
constructive,kənˈstɹəktɪv
consular,ˈkɑnsəɫɝ
consuming,kənˈsumɪŋ
consummated,ˈkɑnsəˌmeɪtəd
contagious,kənˈteɪdʒəs
contained,kənˈteɪnd
contaminated,kənˈtæməˌneɪtɪd
contemporaneous,kənˌtɛmpɝˈeɪniəs
contemporary,kənˈtɛmpɝˌɛɹi
contemptuous,kənˈtɛmptʃuəs
contending,kənˈtɛndɪŋ
contented,kənˈtɛntəd
contentious,kənˈtɛnʃəs
contestable,kənˈtɛstəbəɫ
contested,kənˈtɛstəd
contextual,ˌkɑnˈtɛksˌtʃuəɫ
contiguous,kənˈtɪɡjuəs
continent,ˈkɑntənənt
continental,ˌkɑntəˈnɛnəɫ
contingent,kənˈtɪndʒənt
continual,kənˈtɪnjuəɫ
continued,kənˈtɪnjud
continuing,kənˈtɪnjuɪŋ
continuous,kənˈtɪnjuəs
contorted,kənˈtɔɹtəd
contraceptive,ˌkɑntɹəˈsɛptɪv
contracted,ˈkɑntɹæktəd
contractual,kənˈtɹæktʃuəɫ
contradictory,ˌkɑntɹəˈdɪktɝi
contrary,ˈkɑntɹɛɹi
contrasting,kənˈtɹæstɪŋ
contrite,kənˈtɹaɪt
contrived,kənˈtɹaɪvd
controllable,kənˈtɹoʊɫəbəɫ
controlled,kənˈtɹoʊɫd
controlling,kənˈtɹoʊɫɪŋ
controversial,ˌkɑntɹəˈvɝʃəɫ
convalescent,ˌkɑnvəˈɫɛsənt
conventional,kənˈvɛnʃənəɫ
convergent,kənˈvɝdʒənt
conversant,kənˈvɝsənt
converse,ˈkɑnvɝs
convertible,kənˈvɝtəbəɫ
convex,ˈkɑnˌvɛks
convinced,kənˈvɪnst
convincing,kənˈvɪnsɪŋ
convivial,kənˈvɪviəɫ
convolute,ˈkɑnvəˌɫut
convulsive,kənˈvəɫsɪv
cool,ˈkuɫ
cooperative,koʊˈɑpɝˌeɪtɪv
coordinated,koʊˈɔɹdəneɪtɪd
coordinating,koʊˈɔɹdəˌneɪtɪŋ
copious,ˈkoʊpiəs
coppery,ˈkɑpɝi
coral,ˈkɔɹəɫ
corbelled,ˈkɔɹbəɫd
corded,ˈkɔɹdəd
cordial,ˈkɔɹdʒəɫ
cordless,ˈkɔɹdɫəs
corinthian,kɝˈɪnθiən
corneal,ˌkɔɹˈniɫ
coronary,ˈkɔɹəˌnɛɹi
corporate,ˈkɔɹpɝət
correct,kɝˈɛkt
corrected,kɝˈɛktəd
correctional,kɝˈɛkʃənəɫ
corrective,kɝˈɛktɪv
corresponding,ˌkɔɹəˈspɑndɪŋ
corrigible,ˈkɔɹədʒəbəɫ
corroded,kɝˈoʊdɪd
corrugated,ˈkɔɹəˌɡeɪtɪd
corrupt,kɝˈəpt
corrupted,kɝˈəptɪd
corruptible,kɝˈəptɪbəɫ
corrupting,kɝˈəptɪŋ
cortical,ˈkɔɹtəkəɫ
cosmetic,kɑzˈmɛtɪk
cosmic,ˈkɑzmɪk
cosmopolitan,ˌkɑzməˈpɑɫətən
costumed,ˈkɔˌstumd
countable,ˈkaʊntəbəɫ
counterclockwise,ˌkaʊnɝˈkɫɔkwaɪz
counterproductive,ˈkaʊntɝpɹəˌdəktɪv
counterrevolutionary,ˌkaʊntɝɹɛvəˈɫuʃəˌnɛɹi
countertenor,ˈkaʊntɝˌtɛnɝ
countless,ˈkaʊntɫəs
countrywide,ˈkəntɹiˌwaɪd
coupled,ˈkəpəɫd
courteous,ˈkɝtiəs
courtly,ˈkɔɹtɫi
covalent,koʊˈvɑɫənt
covered,ˈkəvɝd
covert,ˈkoʊvɝt
coveted,ˈkəvətɪd
cowardly,ˈkaʊɝdɫi
coy,ˈkɔɪ
cozy,ˈkoʊzi
crackle,ˈkɹækəɫ
crafty,ˈkɹæfti
cramped,ˈkɹæmpt
cranial,ˈkɹeɪnjəɫ
crank,ˈkɹæŋk
crass,ˈkɹæs
craved,ˈkɹeɪvd
craven,ˈkɹeɪvən
crazed,ˈkɹeɪzd
crazy,ˈkɹeɪzi
creaky,ˈkɹiki
creamy,ˈkɹimi
creative,kɹiˈeɪtɪv
credible,ˈkɹɛdəbəɫ
creditable,ˈkɹɛdətəbəɫ
credited,ˈkɹɛdətəd
creditworthy,ˈkɹɛdɪtˌwɝði
credulous,ˈkɹɛdʒəɫəs
creepy,ˈkɹipi
crescendo,kɹɪˈʃɛndoʊ
crescent,ˈkɹɛsənt
crested,ˈkɹɛstɪd
cretaceous,kɹɪˈteɪʃɪs
criminal,ˈkɹɪmənəɫ
crimson,ˈkɹɪmzən
cringing,ˈkɹɪndʒɪŋ
crippling,ˈkɹɪpəɫɪŋ
crisp,ˈkɹɪsp
crisscross,ˈkɹɪsˌkɹɔs
critical,ˈkɹɪtɪkəɫ
crooked,ˈkɹʊkəd
cropped,ˈkɹɑpt
cross,ˈkɹɔs
crossed,ˈkɹɔst
crosstown,ˈkɹɔˌstaʊn
crosswise,ˈkɹɔˌswaɪz
crowned,ˈkɹaʊnd
crowning,ˈkɹaʊnɪŋ
crucial,ˈkɹuʃəɫ
cruddy,ˈkɹədi
crude,ˈkɹud
crushing,ˈkɹəʃɪŋ
crustaceous,kɹəˈsteɪʃəs
crustal,ˈkɹəstəɫ
crusted,ˈkɹəstɪd
crying,ˈkɹaɪɪŋ
cryogenic,ˈkɹaɪəˌdʒɛnɪk
cryptic,ˈkɹɪptɪk
crystalline,ˈkɹɪstəˌɫaɪn
crystallized,ˈkɹɪstəˌɫaɪzd
cubic,ˈkjubɪk
cubist,ˈkjubɪst
culinary,ˈkjuɫɪˌnɛɹi
cultivated,ˈkəɫtəˌveɪtɪd
cultural,ˈkəɫtʃɝəɫ
cumbersome,ˈkəmbɝsəm
cuneiform,ˈkjuniəˌfɔɹm
cunning,ˈkənɪŋ
curable,ˈkjʊɹəbəɫ
curative,ˈkjʊɹətɪv
curatorial,ˌkjʊɹəˈtɔɹiəɫ
cured,ˈkjʊɹd
curious,ˈkjʊɹiəs
current,ˈkɑɹənt
curricular,kɝˈɪkjəˌɫɝ
cursed,ˈkɝst
curved,ˈkɝvd
curvy,ˈkɝvi
cushioned,ˈkʊʃənd
cushy,ˈkʊʃi
cussed,ˈkəst
customary,ˈkəstəˌmɛɹi
cut,ˈkət
cutaneous,ˌkjuˈteɪˌniəs
cute,ˈkjut
cutthroat,ˈkətˌθɹoʊt
cutting,ˈkətɪŋ
cyclic,ˈsaɪkɫɪk
cyclopean,ˌsaɪkɫəˈpiən
cylindrical,səˈɫɪndɹɪkəɫ
cynical,ˈsɪnɪkəɫ
cyprian,ˈsɪpɹiən
cystic,ˈsɪstɪk
cytoplasmic,ˌsaɪtəˈpɫæzmɪk
czarist,ˈzɑɹɪst
dabbled,ˈdæbəɫd
dainty,ˈdeɪnti
damaged,ˈdæmədʒd
damaging,ˈdæmɪdʒɪŋ
damask,ˈdæməsk
damn,ˈdæm
damp,ˈdæmp
dangerous,ˈdeɪndʒɝəs
dark,ˈdɑɹk
darkened,ˈdɑɹkənd
dashed,ˈdæʃt
dashing,ˈdæʃɪŋ
daylong,ˈdeɪˌɫɔŋ
dazed,ˈdeɪzd
dazzled,ˈdæzəɫd
dazzling,ˈdæzəɫɪŋ
dead,ˈdɛd
deadlocked,ˈdɛdˌɫɑkt
deadly,ˈdɛdɫi
deadpan,ˈdɛdˌpæn
deaf,ˈdɛf
deafening,ˈdɛfənɪŋ
dear,ˈdɪɹ
debased,dəˈbeɪst
debasing,dɪˈbeɪsɪŋ
debatable,dəˈbeɪtəbəɫ
debilitating,dəˈbɪɫəˌteɪtɪŋ
debonair,ˌdɛbəˈnɛɹ
decadent,ˈdɛkədənt
decayed,dəˈkeɪd
deceitful,dəˈsitfəɫ
decent,ˈdisənt
decentralizing,dɪˈsɛntɹəˌɫaɪzɪŋ
deceptive,dɪˈsɛptɪv
deciduous,ˌdɪˈsɪdʒuəs
deciphered,dɪˈsaɪfɝd
decisive,dɪˈsaɪsɪv
declared,dɪˈkɫɛɹd
declassified,dɪˈkɫæsəˌfaɪd
decorous,ˈdɛkɝəs
decreasing,ˈdiˌkɹisɪŋ
decrepit,dəˈkɹɛpɪt
dedicated,ˈdɛdəkeɪtəd
deductible,dɪˈdəktəbəɫ
deductive,dɪˈdəktəv
deep,ˈdip
defaced,dɪˈfeɪst
defeated,dɪˈfitəd
defective,dɪˈfɛktɪv
defending,dɪˈfɛndɪŋ
defenseless,dɪˈfɛnsɫəs
defensive,dɪˈfɛnsɪv
defiant,dɪˈfaɪənt
deficient,dɪˈfɪʃənt
definable,dɪˈfaɪnəbəɫ
defined,dɪˈfaɪnd
definite,ˈdɛfənət
definitive,dɪˈfɪnɪtɪv
deflationary,dɪˈfɫeɪʃəˌnɛɹi
deformed,dɪˈfɔɹmd
deft,ˈdɛft
defunct,dɪˈfəŋkt
degenerative,dɪˈdʒɛnɝətɪv
dehumanized,dɪˈhjumənaɪzd
dehydrated,dɪˈhaɪdɹeɪtəd
deist,ˈdiɪst
dejected,dɪˈdʒɛktɪd
delayed,dɪˈɫeɪd
delectable,dɪˈɫɛktəbəɫ
deleterious,ˌdɛɫəˈtɪɹiəs
deliberate,dɪˈɫɪbɝˌeɪt
deliberative,dɪˈɫɪbɝˌeɪtɪv
delicate,ˈdɛɫəkət
delighted,dɪˈɫaɪtəd
delineated,dɪˈɫɪniˌeɪtɪd
delinquent,dɪˈɫɪŋkwənt
delirious,dɪˈɫɪɹiəs
deliverable,dɪˈɫɪvɝəbəɫ
delusional,dɪˈɫuʒənəɫ
deluxe,dəˈɫəks
demagogic,ˌdɛməˈɡɑdʒɪk
demanding,dɪˈmændɪŋ
demeaning,dɪˈminɪŋ
democratic,ˌdɛməˈkɹætɪk
demographic,ˌdɛməˈɡɹæfɪk
demolished,dɪˈmɑɫɪʃt
demonstrable,ˈdɛmənstɹəbəɫ
demonstrated,ˈdɛmənˌstɹeɪtɪd
demonstrative,dɪˈmɑnstɹətɪv
demoralized,dɪˈmɔɹəˌɫaɪzd
denatured,dɪˈneɪtʃɝd
dendritic,dɛnˈdɹɪtɪk
denominational,dɪˌnɔməˈneɪʃənəɫ
dense,ˈdɛns
dental,ˈdɛnəɫ
departmental,dɪˌpɑɹtˈmɛnəɫ
dependable,dɪˈpɛndəbəɫ
dependent,dɪˈpɛndənt
depicted,dɪˈpɪktəd
depilatory,dɪˈpɪɫəˌtɔɹi
depleted,dɪˈpɫitɪd
deplorable,dɪˈpɫɔɹəbəɫ
depraved,diˈpɹeɪvd
depreciating,dɪˈpɹiʃiˌeɪtɪŋ
depressant,dɪˈpɹɛsənt
depressed,dɪˈpɹɛst
depressing,dɪˈpɹɛsɪŋ
deprived,dɪˈpɹaɪvd
derelict,ˈdɛɹəˌɫɪkt
derisive,dɝˈaɪsɪv
derived,dɝˈaɪvd
dermal,ˈdɝməɫ
descendant,dɪˈsɛndənt
